year,flat_type,resale_price
2012-03,4 ROOM,483000
2012-03,5 ROOM,485000
2012-03,5 ROOM,485000
2012-03,5 ROOM,488000
2012-03,5 ROOM,488000
2012-03,5 ROOM,488000
2012-03,5 ROOM,496000
2012-03,5 ROOM,496000
2012-03,5 ROOM,500000
2012-03,5 ROOM,500000
2012-03,5 ROOM,501000
2012-03,4 ROOM,505000
2012-03,5 ROOM,510000
2012-03,4 ROOM,516000
2012-03,5 ROOM,522000
2012-03,5 ROOM,523000
2012-03,5 ROOM,528000
2012-03,5 ROOM,543000
2012-03,EXECUTIVE,550000
2012-03,EXECUTIVE,550000
2012-03,5 ROOM,553000
2012-03,5 ROOM,555000
2012-03,EXECUTIVE,570000
2012-03,5 ROOM,585000
2012-03,EXECUTIVE,585000
2012-03,EXECUTIVE,589000
2012-03,EXECUTIVE,590888
2012-03,2 ROOM,265000
2012-03,3 ROOM,314000
2012-03,3 ROOM,315000
2012-03,3 ROOM,317000
2012-03,3 ROOM,318888
2012-03,3 ROOM,319000
2012-03,3 ROOM,320000
2012-03,3 ROOM,323000
2012-03,3 ROOM,324000
2012-03,3 ROOM,328000
2012-03,3 ROOM,333000
2012-03,3 ROOM,333000
2012-03,3 ROOM,338000
2012-03,3 ROOM,355000
2012-03,3 ROOM,366000
2012-03,3 ROOM,368000
2012-03,3 ROOM,370000
2012-03,3 ROOM,372000
2012-03,3 ROOM,376000
2012-03,3 ROOM,378000
2012-03,3 ROOM,382000
2012-03,3 ROOM,383000
2012-03,3 ROOM,385000
2012-03,3 ROOM,385000
2012-03,3 ROOM,388000
2012-03,3 ROOM,390000
2012-03,3 ROOM,392000
2012-03,3 ROOM,395000
2012-03,3 ROOM,397000
2012-03,3 ROOM,400000
2012-03,3 ROOM,410000
2012-03,3 ROOM,410000
2012-03,3 ROOM,415000
2012-03,4 ROOM,435000
2012-03,4 ROOM,435000
2012-03,3 ROOM,460000
2012-03,4 ROOM,461000
2012-03,3 ROOM,472500
2012-03,4 ROOM,476800
2012-03,4 ROOM,491000
2012-03,4 ROOM,495000
2012-03,4 ROOM,500000
2012-03,4 ROOM,505000
